i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
1,6448,392,549,1.4,145.44286408313877
19,5916,1506,2108,1.4,343.27322889833994
1,6448,549,768,1.4,179.55646234860313
19,5916,2108,2952,1.4,382.2402609727139
22,9846,11339,60983,5.378239999999998,872.6686670958493
19,5916,2952,4132,1.4,415.9905810665453
1,6448,768,1076,1.4,219.86612768100719
19,5916,4132,5785,1.4,443.9292577195234
1,6448,1076,1506,1.4,265.67308180386067
19,5916,5785,8099,1.4,466.21922905504357
1,6448,1506,2108,1.4,314.6432096155246
22,9846,15874,85376,5.378239999999998,876.4764987260528
19,5916,8099,11339,1.4,483.4964980402384
1,6448,2108,2952,1.4,363.2977794901295
19,5916,11339,15874,1.4,496.59761385325885
1,6448,2952,4132,1.4,408.2718154085772
19,5916,15874,22224,1.4,506.3707645836032
22,9846,22224,119526,5.378239999999998,879.2163288277993
19,5916,22224,31114,1.4,513.5740742146089
1,6448,4132,5785,1.4,447.3186274332547
19,5916,31114,43559,1.4,518.8368760372217
1,6448,5785,8099,1.4,479.5535505654411
19,5916,43559,60983,1.4,522.6575429946654
1,6448,8099,11339,1.4,505.15376047208997
19,5916,60983,85376,1.4,525.4185521333925
1,6448,11339,15874,1.4,524.9036298721014
19,5916,85376,119526,1.4,527.4072204295563
1,6448,15874,22224,1.4,539.8180158095485
1,6448,22224,31114,1.4,550.9066845483374
1,6448,31114,43559,1.4,559.0584351349851
19,5916,22224,52,0.0023425849983812193,118.40675207886528
1,6448,43559,60983,1.4,565.0025349421466
19,5916,31114,73,0.0023425849983812193,156.37597564774765
19,5916,43559,102,0.0023425849983812193,199.9404432379793
1,6448,60983,85376,1.4,569.3115508073444
19,5916,60983,143,0.0023425849983812193,247.24007337941416
1,6448,85376,119526,1.4,572.4221552115788
17,6664,200,31114,155.5680955578121,388.9460039047085
19,5916,85376,200,0.0023425849983812193,295.40343550725095
19,5916,119526,280,0.0023425849983812193,341.2930249756585
17,6664,280,43559,155.5680955578121,401.75239005799546
17,6664,392,60983,155.5680955578121,418.4469998529459
13,8634,200,280,1.4,119.69276517082862
19,5916,200,43559,217.7953337809369,391.22924506281936
17,6664,549,85376,155.5680955578121,438.76363865455613
19,5916,280,60983,217.7953337809369,409.14749220142244
13,8634,280,392,1.4,148.96195326695153
19,5916,5785,52,0.00899927452978129,99.62831147494198
17,6664,768,119526,155.5680955578121,461.60271354739814
19,5916,392,85376,217.7953337809369,424.58982870207774
19,5916,8099,73,0.00899927452978129,137.67358325877666
19,5916,549,119526,217.7953337809369,438.51682222000954
19,5916,200,8099,40.495651696639975,362.45089973834325
19,5916,11339,102,0.00899927452978129,182.17671988373849
13,8634,392,549,1.4,184.06473346440498
19,5916,280,11339,40.495651696639975,386.2688864327714
19,5916,15874,143,0.00899927452978129,231.09540151685215
19,5916,392,15874,40.495651696639975,406.8335015384528
13,8634,549,768,1.4,226.9038199878911
19,5916,22224,200,0.00899927452978129,281.33402258188494
19,5916,549,22224,40.495651696639975,424.93511057477247
19,5916,31114,280,0.00899927452978129,329.5031818491215
19,5916,768,31114,40.495651696639975,441.5854993317825
19,5916,43559,392,0.00899927452978129,372.84546069335215
13,8634,768,1076,1.4,278.74969019783464
19,5916,1076,43559,40.495651696639975,457.2657297736747
26,7122,22224,52,0.0023425849983812193,122.2606194728183
19,5916,60983,549,0.00899927452978129,409.7758342197574
19,5916,1506,60983,40.495651696639975,471.80834975506923
26,7122,31114,73,0.0023425849983812193,166.45313637168448
19,5916,85376,768,0.00899927452978129,439.8815243087871
19,5916,2108,85376,40.495651696639975,484.76489803605415
13,8634,1076,1506,1.4,338.9826253158244
19,5916,119526,1076,0.00899927452978129,463.59130811457874
26,7122,43559,102,0.0023425849983812193,219.15067801736174
19,5916,2952,119526,40.495651696639975,495.78535883713744
26,7122,60983,143,0.0023425849983812193,277.9524173260251
13,8634,1506,2108,1.4,404.57348205385495
26,7122,85376,200,0.0023425849983812193,338.80128043466397
13,8634,2108,2952,1.4,470.7979215143039
26,7122,119526,280,0.0023425849983812193,397.23273286679296
19,5916,200,1506,7.529535999999998,262.14301374069487
13,8634,2952,4132,1.4,532.8745832364768
19,5916,280,2108,7.529535999999998,299.11327232010893
19,5916,392,2952,7.529535999999998,334.2020771657713
13,8634,4132,5785,1.4,587.3996196297052
19,5916,549,4132,7.529535999999998,366.26946464781497
19,5916,768,5785,7.529535999999998,395.2000576270271
13,8634,5785,8099,1.4,632.8287489967958
19,5916,1076,8099,7.529535999999998,421.1557308635451
26,7122,200,8099,40.495651696639975,347.7328414490825
19,5916,1506,11339,7.529535999999998,444.0749060074838
13,8634,8099,11339,1.4,669.1625560264099
26,7122,280,11339,40.495651696639975,366.273068376891
19,5916,2108,15874,7.529535999999998,463.7383812155856
26,7122,392,15874,40.495651696639975,385.74099290265843
19,5916,2952,22224,7.529535999999998,480.0358330180465
13,8634,11339,15874,1.4,697.3411624326401
19,5916,4132,31114,7.529535999999998,493.1016664196716
26,7122,549,22224,40.495651696639975,408.65602893361694
1,6448,1076,52,0.0484002582470509,72.82474944351185
19,5916,5785,43559,7.529535999999998,503.28366675585517
26,7122,768,31114,40.495651696639975,436.0605930187859
13,8634,15874,22224,1.4,718.7033510245664
1,6448,200,8099,40.495651696639975,350.5571367400624
1,6448,1506,73,0.0484002582470509,111.78371784577239
19,5916,8099,60983,7.529535999999998,511.0410025711784
26,7122,1076,43559,40.495651696639975,466.68031138103504
19,5916,11339,85376,7.529535999999998,516.8496956741269
1,6448,280,11339,40.495651696639975,384.7407752130578
1,6448,2108,102,0.0484002582470509,162.34386444441705
13,8634,22224,31114,1.4,734.6308891007287
19,5916,15874,119526,7.529535999999998,521.1433867967388
1,6448,392,15874,40.495651696639975,417.2655289232901
26,7122,1506,60983,40.495651696639975,497.90578254304125
1,6448,2952,143,0.0484002582470509,221.19313606151076
1,6448,22224,52,0.0023425849983812193,209.86016035710605
1,6448,549,22224,40.495651696639975,447.1538923168133
1,6448,4132,200,0.0484002582470509,282.8915558616198
26,7122,2108,85376,40.495651696639975,527.1801557949957
1,6448,31114,73,0.0023425849983812193,263.7724308981939
13,8634,31114,43559,1.4,746.3639267529029
1,6448,768,31114,40.495651696639975,473.8016109814849
1,6448,5785,280,0.0484002582470509,341.9681287733187
1,6448,43559,102,0.0023425849983812193,317.73823358054113
26,7122,2952,119526,40.495651696639975,552.8018508309132
1,6448,1076,43559,40.495651696639975,496.83932894486236
1,6448,8099,392,0.0484002582470509,394.5154670026468
1,6448,60983,143,0.0023425849983812193,368.6218947772179
13,8634,43559,60983,1.4,754.9320936987093
1,6448,1506,60983,40.495651696639975,516.1249679779888
1,6448,11339,549,0.0484002582470509,438.6468808317147
1,6448,85376,200,0.0023425849983812193,413.9829705799591
1,6448,2108,85376,40.495651696639975,531.7690248949208
1,6448,15874,768,0.0484002582470509,474.13116555798314
13,8634,60983,85376,1.4,761.1499664143
1,6448,119526,280,0.0023425849983812193,452.469986298998
1,6448,2952,119526,40.495651696639975,544.1041777049277
1,6448,22224,1076,0.0484002582470509,501.7525636457875
13,8634,85376,119526,1.4,765.6419694927009
1,6448,31114,1506,0.0484002582470509,522.7469070354515
1,6448,43559,2108,0.0484002582470509,538.4292426460705
