i,matrix_alpha,habitat_alpha,ratio,eca
26,323117,403897,1.25,638.1149163501188
1,206795,258494,1.25,576.8223286037899
39,27756,165436,5.9604644775390625,874.8118911661891
1,258494,323117,1.25,577.5191788356143
39,105879,105879,1,878.726288626221
39,14211,206795,14.551915228366852,870.561761155422
1,323117,403897,1.25,578.0776230369592
39,34694,206795,5.9604644775390625,878.1694135383217
42,500,43368,86.73617379884035,684.3375391526
39,132349,132349,1,881.3197870035209
39,17764,258494,14.551915228366852,874.7386112584181
39,43368,258494,5.9604644775390625,880.8704675782885
1,400,105879,264.6977960169689,449.2221631894175
26,323117,400,0.0012379400392853804,455.07923522915496
1,500,132349,264.6977960169689,465.3627907352161
45,400,43368,108.42021724855044,304.46626350563184
39,165436,165436,1,883.4029069496156
42,625,54210,86.73617379884035,731.8182164350424
1,625,165436,264.6977960169689,480.43382436886986
39,22204,323117,14.551915228366852,878.1059916344652
45,500,54210,108.42021724855044,323.8423899685931
26,403897,500,0.0012379400392853804,484.88589997376465
39,54210,323117,5.9604644775390625,883.0409920204937
45,400,7276,18.189894035458565,268.78221778308796
45,625,67763,108.42021724855044,343.2538567070937
1,781,206795,264.6977960169689,494.33139433095363
45,500,9095,18.189894035458565,290.683647547558
45,781,84703,108.42021724855044,362.3493737128523
1,977,258494,264.6977960169689,506.9722600904669
45,625,11369,18.189894035458565,312.83302384204677
39,206795,206795,1,885.07475113721
45,977,105879,108.42021724855044,380.7394043233586
39,27756,403897,14.551915228366852,880.8166206251185
39,67763,403897,5.9604644775390625,884.7836374697322
45,781,14211,18.189894035458565,334.80683631461454
1,1221,323117,264.6977960169689,518.3038425652453
42,781,67763,86.73617379884035,776.9064960972222
45,1221,132349,108.42021724855044,398.04708136074004
45,977,17764,18.189894035458565,356.1400066776223
1,1526,403897,264.6977960169689,528.313277193515
45,1526,165436,108.42021724855044,413.9635944791424
45,1221,22204,18.189894035458565,376.3752142429678
39,258494,258494,1,886.4156610033945
45,1907,206795,108.42021724855044,428.28423158311506
45,1526,27756,18.189894035458565,395.12337370178136
45,2384,258494,108.42021724855044,440.9173487635381
45,400,17764,44.40892098500626,293.0600234110662
45,1907,34694,18.189894035458565,412.1088187728933
45,2980,323117,108.42021724855044,451.87164667038275
45,2384,43368,18.189894035458565,427.1861968661084
45,500,22204,44.40892098500626,313.3615228367182
42,977,84703,86.73617379884035,818.6787656166936
39,323117,323117,1,887.4905929587289
45,3725,403897,108.42021724855044,461.2319643779935
45,2980,54210,18.189894035458565,440.3313671552384
45,625,27756,44.40892098500626,333.73361947897536
45,3725,67763,18.189894035458565,451.61641744007244
45,781,34694,44.40892098500626,353.8054835550904
45,4657,84703,18.189894035458565,461.17934387455534
45,977,43368,44.40892098500626,373.16743611064044
19,400,17764,44.40892098500626,409.80895061069094
45,5821,105879,18.189894035458565,469.19572632459494
39,403897,403897,1,888.3519521920493
45,1221,54210,44.40892098500626,391.42124048569815
19,500,22204,44.40892098500626,421.6510323853301
42,1221,105879,86.73617379884035,856.5570510177828
45,7276,132349,18.189894035458565,475.85603278981995
45,1526,67763,44.40892098500626,408.23705433760045
19,625,27756,44.40892098500626,432.79266065036177
45,9095,165436,18.189894035458565,481.3494506736275
45,1907,84703,44.40892098500626,423.39213020348467
